Echo 1
0.281716 1.54535 -0.298707 
0.447433 1.76116 -0.464774 
0.346433 1.12397 -0.781652 
0.241842 1.38213 -1.10649 
0.399591 0.90686 -0.858061 
0 0.976099 -0.97802 
0.691773 1.0686 -0.727443 
0.70847 1.01104 -0.870628 
0.701593 1.04789 -0.997178 
0.949373 1.04563 -1.02798 
0.960751 1.2428 -0.908205 
-0.511552 1.29964 -1.01326 
-0.452712 0.988418 -0.952683 
-0.709287 1.10131 -0.914465 
-0.822839 1.17593 -0.830935 
0 1.13409 -0.772911 
-0.286501 1.27262 -1.23919 
-0.311381 1.08188 -0.647346 
-0.519085 1.89733 -0.257592 
-0.637431 1.28569 -0.341143 
-0.52742 1.66305 -0.545764 
-0.633113 1.71133 -0.606411 
-0.710812 1.60185 -0.719899 
-0.362879 2.13519 -0.37363 
-0.478468 1.87351 -0.53593 
-0.983 1.38002 -0.607895 
-1.0696 1.04176 -0.288221 
-1.13373 1.2403 -0.568253 
-0.788208 0.938148 -0.0162672 
-0.811036 1.3386 -0.999312 
-0.968876 1.1722 -0.964419 
-1.21854 0.966768 -1.05499 
-0.790726 1.25267 -1.064 
-0.6317 1.41725 -0.760994 
-0.846745 1.00122 0.405459 
-0.96763 1.14453 0.411867 
-0.856812 0.929795 0.564233 
-0.988036 0.963803 0.822886 
-0.875976 1.29572 -0.0225181 
-0.819391 0.827671 0.17878 
-0.619405 1.18235 0.303211 
0.503326 1.83125 0.238675 
0.842187 1.70742 0.383379 
0.48234 1.80892 0.551684 
0.738356 1.62571 0.65209 
0.663807 1.65115 0.783683 
0.423816 1.91748 0.318705 
0.405449 1.85429 0.371703 
0.828521 1.1356 0.393862 
1.20785 1.19399 0.258708 
1.01011 1.22874 0.707953 
0.786173 0.86811 -0.015424 
0.888068 1.5931 0.639955 
0.768678 0.97484 0.755574 
0.851243 1.24414 0.877333 
1.03659 1.12182 0.94309 
0.634808 1.16356 0.619027 
0.823005 1.53092 -0.506969 
1.16123 1.32249 -0.519386 
0.803037 0.881443 -0.606721 
1.01166 1.19375 -1.21355 
1.03297 1.01348 -0.0206185 
0.886991 0.956048 -0.23639 
0.961129 1.58115 -0.456552 
-0.230461 1.84268 0.426007 
-0.262487 1.27404 0.530922 
-0.449849 1.43015 0.529658 
-0.557145 1.55675 0.64253 
-0.726938 1.61299 0.639486 
-0.275297 1.67831 0.286544 
-0.359953 1.51974 0.360698 
-0.335756 1.11272 0.848667 
-0.239596 1.0607 0.812472 
-0.547181 1.0895 1.07306 
0 1.02561 0.89625 
-1.13567 1.40327 0.727587 
-1.07102 1.25394 0.793424 
-0.595704 0.858206 0.807857 
-1.12548 1.06311 0.868654 
-0.713801 1.17073 0.651352 
0.409715 0.986651 0.751948 
0.554562 1.0818 0.814217 
0.83225 1.31446 0.988064 
0.824553 1.02196 0.761546 
0 1.46616 0.832012 
0.223146 1.00585 0.917354 
0.342455 1.66402 0.837798 
0.692756 1.22177 0.564499 
-0.186981 2.14353 0.304356 
0.779072 1.29853 -1.17713 
0.289463 1.61188 0.135746 
-0.685809 1.37439 0.576458 
-0.318287 1.67402 -0.170772 
-0.659859 1.22969 -0.653178 
0.221963 2.06734 -0.37733 
0.505422 1.69653 0.546318 
-0.146091 2.08358 0.277233 
0.584908 1.9504 -0.627022 
0.279004 2.1552 0.127353 
-0.537602 1.47398 0.508988 
-0.29629 2.4219 -0.168482 
-0.669239 1.85648 -0.616116 
0.144826 2.48755 -0.328226 
0.657331 2.17176 0.519756 
-0.0933882 2.44764 0.164872 
0.459951 2.2028 -0.476642 
0.195534 2.71376 0.0870279 
-0.463179 2.27272 0.408569 
-0.213994 2.50819 -0.134962 
-0.468136 1.98409 -0.48801 
0.101905 2.90466 -0.297955 
0.361683 2.46987 0.345065 
-0.0727327 2.9866 0.129636 
0.382199 2.86834 -0.40971 
0.125255 2.78758 0.0486877 
-0.40523 2.7996 0.369601 
-0.139926 2.91998 -0.0878892 
-0.414225 2.52203 -0.403826 
0.0665829 2.85378 -0.149135 
-0.262012 2.78985 -0.303238 
0.0427868 3.2841 -0.120269 
-0.297317 2.99046 0.254102 
-0.0900609 3.28477 -0.0616439 
0.33761 2.73297 -0.383044 
0.110694 3.4841 0.0333474 
0.281063 3.05902 0.244935 
-0.0440039 3.35122 0.0841846 
0.113298 2.89169 0.10339 
0.130006 3.22436 -0.147436 
-0.114403 2.89175 0.102283 
-0.133391 3.15747 -0.144995 
-0.20447 2.95744 -0.238507 
-0.18649 3.09671 0.180448 
0.185753 2.69336 -0.195516 
0.196344 3.03004 0.164519 
-0.259642 2.48116 -0.31018 
-0.236628 2.49158 0.237452 
0.230253 2.29099 -0.255335 
0.264549 2.88378 0.314486 
-0.318715 2.13593 -0.390149 
-0.33817 1.93893 0.290623 
0.725052 2.15992 -0.570516 
0.288358 1.81571 0.268569 
-0.377042 1.71286 -0.587909 
-0.423442 1.62707 0.416206 
0.342337 1.52882 -0.360649 
0.341018 1.4617 0.328947 
0.366699 2.68408 0.360709 
0.358455 2.48485 -0.372933 
-0.390233 2.54351 0.373894 
-0.371029 2.74942 -0.40679 
-0.551835 2.45407 -0.563702 
-0.615586 2.36008 0.546727 
0.545785 2.65939 -0.569109 
0.470874 2.07021 0.454236 
-0.584443 1.79491 -0.65229 
-0.671102 1.76312 0.614989 
0.705431 2.18904 -0.652975 
0.663312 1.83885 0.640414 
-0.721097 1.56641 -1.13997 
-0.728182 1.30327 0.684496 
0.740728 1.30105 -0.816273 
1.04372 1.50703 0.834125 
-0.958178 0.960682 -0.987155 
-1.00282 1.09117 1.01831 
0.896934 1.00847 -0.876582 
0.88775 1.07835 0.885899 
-0.0865126 0.875009 0.181789 
-0.106172 1.00897 0.12147 
-0.131176 0.964593 0.116249 
-0.122511 1.21017 -0.0930549 
-0.139132 1.36447 -0.150744 
-0.217743 1.3351 -0.233129 
0.217159 1.08826 -0.411457 
0.122203 1.03274 -0.121445 
0.107595 1.38952 -0.342341 
0.303541 1.4136 0.254867 
0.130848 0.897232 0.105163 
0.174338 1.01079 0.158222 
0.160271 0.697956 0.10082 
0.321017 0.549684 0.2108 
0.218403 0.781262 0.0832589 
0.125219 0.904475 -0.0423429 
0.153641 0.52128 0 
0.147852 0.521745 -0.0452808 
0.105439 1.01097 -0.0304934 
0.135794 1.0994 0 
0.122646 1.30087 -0.0354114 
0.0820649 0.503745 -0.116132 
0.213014 0.872315 -0.325491 
0.11197 0.453954 -0.130022 
-0.0279076 0.500245 -0.123939 
-0 0.650113 -0.18806 
-0.0283905 0.392756 -0.117662 
-0.0314005 1.542 -0.156901 
-0 1.10037 -0.126077 
-0.0390847 1.09531 -0.160506 
-0.114515 0.460345 -0.0945379 
-0.112775 0.635058 -0.1343 
-0.3406 0.562863 -0.313632 
-0.156665 0.901509 0.0436644 
-0.164033 0.517958 0 
-0.111401 0.394317 0.0291881 
-0.149596 0.961098 0.0359646 
-0.242759 1.46024 0 
-0.153273 1.43259 0 
-0.116882 0.844766 0.232408 
-0.201385 1.09375 0.168549 
-0.315766 0.828682 0.349079 
0.0611204 1.08972 0.23794 
-0 0.722106 0.172897 
0.0929966 0.766139 0.395989 
0.0343494 1.21115 0.101745 
-0 0.833652 0.110735 
0.0485127 1.36324 0.171291 
0.0276934 0.791067 0.111514 
